Name, x, y, z
ADAL, 103.47, -2.24, -6.33
ADAR, 98.37, 0.96, 8.26
ADEL, 93.11, -4.22, -6.33
ADER, 68.78, 3.62, 6.57
ADFL, 56.05, 5.07, -4.98
ADFR, 62.05, 12.27, 5.34
ADLL, 65.15, 11.51, -4.25
ADLR, 72.58, 11.16, 4.29
AFDL, 63.04, -2.90, -0.53
AFDR, 57.73, 8.74, 5.26
AIAL, 62.96, 5.22, -1.75
AIAR, 83.26, -5.69, 3.07
AIBL, 66.37, -0.18, -4.56
AIBR, 63.35, 2.45, 5.18
AIML, 93.83, -13.30, -0.82
AIMR, 81.69, -6.74, 2.80
AINL, 73.97, 5.99, -7.66
AINR, 77.45, 8.77, 5.85
AIYL, 75.40, -4.89, -3.26
AIYR, 66.75, -2.42, 1.85
AIZL, 78.82, -1.47, -5.09
AIZR, 76.56, 2.36, 5.26
ALA, 54.88, 17.96, -1.01
ALML, 338.65, 11.69, -11.76
ALMR, 314.65, 19.82, 10.80
ALNL, 777.53, 15.69, -4.42
ALNR, 787.61, 14.13, 2.48
AQR, 91.22, -0.76, 6.86
AS01, 133.21, -13.15, 0.74
AS10, 653.28, -7.83, -0.76
AS11, 721.41, -5.65, -1.56
AS02, 183.96, -13.03, -0.37
AS03, 243.82, -13.01, 1.36
AS04, 315.51, -15.79, 0.51
AS05, 374.68, -16.37, 0.11
AS06, 416.98, -13.60, 0.36
AS07, 479.98, -12.75, 1.69
AS08, 534.79, -13.08, -0.11
AS09, 597.87, -11.32, -0.09
ASEL, 67.82, 5.40, -7.38
ASER, 68.55, 10.74, 6.22
ASGL, 67.93, 7.44, -4.75
ASGR, 65.38, 11.39, 4.05
ASHL, 63.23, 2.92, -6.34
ASHR, 62.97, 7.72, 7.46
ASIL, 72.45, 4.94, -4.60
ASIR, 63.79, 14.61, 1.90
ASJL, 75.85, -2.09, -3.74
ASJR, 91.31, -6.30, -3.44
ASKL, 54.85, 3.47, -4.11
ASKR, 63.18, 8.14, 3.91
AUAL, 66.02, -1.81, -6.27
AUAR, 68.32, 0.98, 4.74
AVAL, 52.34, 6.23, -6.66
AVAR, 54.59, 2.88, 3.54
AVBL, 71.54, 5.06, -3.45
AVBR, 72.77, 11.02, 8.07
AVDL, 76.23, -0.36, -6.66
AVDR, 77.25, 5.64, 6.09
AVEL, 62.61, 2.09, -5.27
AVER, 67.33, 3.84, 5.10
AVFL, 119.50, -9.32, -1.68
AVFR, 117.42, -10.84, 0.92
AVG, 120.73, -10.38, 1.77
AVHL, 66.15, 10.31, -6.76
AVHR, 67.38, 13.54, 5.22
AVJL, 70.09, 7.02, -6.18
AVJR, 71.74, 12.39, 3.80
AVKL, 97.68, -7.51, -3.19
AVKR, 98.66, -8.58, 3.22
AVL, 60.23, -1.09, 2.98
AVM, 287.96, -1.15, 10.07
AWAL, 69.04, 4.23, -5.48
AWAR, 70.50, 3.72, 5.88
AWBL, 60.44, 7.94, -6.27
AWBR, 63.66, 12.65, 5.84
AWCL, 62.15, -0.45, -4.84
AWCR, 67.11, -0.31, 4.61
BAGL, 40.21, 5.32, -4.85
BAGR, 42.15, 4.00, 5.96
BDUL, 188.68, 7.58, -10.04
BDUR, 187.79, 11.41, 7.80
CEPDL, 52.69, 15.61, -4.65
CEPDR, 59.47, 16.56, 3.44
CEPVL, 50.12, 0.83, -4.10
CEPVR, 42.17, -0.14, 2.44
DA01, 132.48, -12.43, -0.36
DA02, 192.83, -14.26, -0.02
DA03, 268.10, -14.80, -0.37
DA04, 348.45, -17.81, -0.58
DA05, 460.74, -14.05, 1.55
DA06, 545.84, -13.75, -0.03
DA07, 655.63, -9.00, -0.73
DA08, 742.54, -1.67, -1.20
DA09, 742.77, -1.10, 0.67
DB01, 128.74, -10.25, 1.48
DB02, 108.68, -11.66, -0.23
DB03, 181.21, -14.37, -0.76
DB04, 306.22, -16.12, -0.36
DB05, 413.59, -14.06, 0.86
DB06, 532.42, -14.45, -0.14
DB07, 648.91, -9.61, -0.77
DD01, 128.02, -12.47, 0.77
DD02, 226.98, -13.41, 1.25
DD03, 352.61, -15.46, 1.37
DD04, 476.87, -14.14, 2.41
DD05, 590.72, -11.77, -0.19
DD06, 741.67, -1.61, -0.23
DVA, 765.38, 13.46, 0.45
DVB, 766.31, 15.01, -2.16
DVC, 769.17, 14.37, -1.98
FLPL, 83.45, 2.06, -6.66
FLPR, 81.42, -1.36, 5.07
HSNL, 462.61, -1.76, -9.73
HSNR, 452.19, -3.30, 10.45
I1L, 4.18, 3.62, -4.02
I1R, 0.00, 4.19, 1.70
I2L, 20.43, 1.17, -4.46
I2R, 12.08, 5.00, 3.77
I3, 15.87, 17.67, -0.34
I4, 74.25, 17.99, -3.35
I5, 83.43, -4.95, 1.61
I6, 75.02, 14.23, -2.65
IL1DL, 36.20, 13.98, 1.18
IL1DR, 31.78, 12.25, -0.03
IL1L, 32.30, 5.06, -5.29
IL1R, 30.90, 5.83, 5.26
IL1VL, 29.02, -1.00, -2.67
IL1VR, 43.69, -3.04, 0.90
IL2DL, 23.49, 14.65, -3.32
IL2DR, 27.04, 16.15, 3.36
IL2L, 27.76, 1.77, -4.62
IL2R, 30.67, 9.78, 5.29
IL2VL, 37.93, -1.66, -5.18
IL2VR, 31.50, 1.42, 4.48
LUAL, 773.45, 8.42, -3.59
LUAR, 772.58, 6.84, 2.74
M1, 89.07, 14.28, 6.10
M2L, 89.94, -2.57, 0.54
M2R, 79.51, 8.47, 4.97
M3L, 25.64, 3.93, -4.16
M3R, 34.73, 2.38, -1.84
M4, 24.33, 10.47, -0.28
M5, 98.31, 9.32, 0.59
MCL, 5.91, -0.22, -2.93
MCR, 22.79, 2.06, 2.54
MI, 13.14, 15.53, 0.57
NSML, 23.89, 0.34, -4.65
NSMR, 16.91, 0.45, 2.92
OLLL, 33.24, 10.30, -4.20
OLLR, 34.03, 10.06, 5.02
OLQDL, 37.33, 14.50, -1.40
OLQDR, 38.51, 14.24, 2.52
OLQVL, 43.31, 3.52, -5.31
OLQVR, 45.70, -1.79, 2.03
PDA, 752.57, -1.23, -1.14
PDB, 748.23, -2.11, -0.01
PDEL, 561.02, 12.04, -7.47
PDER, 554.68, 11.39, 10.37
PHAL, 767.63, 7.67, -4.06
PHAR, 772.70, 2.41, 2.05
PHBL, 770.31, 6.22, -5.05
PHBR, 771.33, 4.96, 3.52
PHCL, 784.57, 6.50, -1.26
PHCR, 780.48, 4.19, 2.06
PLML, 800.00, 6.19, -1.50
PLMR, 423.80, 7.15, -0.87
PLNL, 766.47, 2.71, -5.51
PLNR, 769.47, 2.61, 2.91
PQR, 775.68, 5.64, -5.11
PVCL, 777.68, 9.20, -4.85
PVCR, 775.69, 5.24, 3.91
PVDL, 555.26, 12.55, -8.04
PVDR, 539.69, 11.50, 6.94
PVM, 555.38, 9.87, -7.67
PVNL, 795.88, 9.77, -3.60
PVNR, 799.05, 10.60, 0.68
PVPL, 732.00, -3.14, -1.67
PVPR, 739.86, -2.67, -0.63
PVQL, 763.11, 6.80, -4.29
PVQR, 769.09, 5.76, 3.34
PVR, 787.21, 7.44, 0.68
PVT, 731.94, -4.35, 0.90
PVWL, 781.33, 6.89, -4.96
PVWR, 781.18, 8.55, 2.50
RIAL, 51.78, 11.31, -4.82
RIAR, 55.40, 8.43, 5.75
RIBL, 79.90, 0.06, -5.46
RIBR, 69.89, -0.85, 0.62
RICL, 83.39, -1.96, -5.07
RICR, 74.89, -3.08, 4.49
RID, 70.54, 15.52, 3.64
RIFL, 100.71, -11.45, 0.82
RIFR, 133.94, -12.21, 1.22
RIGL, 127.23, -10.24, -0.28
RIGR, 119.95, -9.08, 0.51
RIH, 49.77, 2.12, 4.69
RIML, 70.30, -0.94, -3.80
RIMR, 67.28, -6.29, 2.75
RIPL, 39.60, 5.26, -6.60
RIPR, 39.80, 8.56, 4.73
RIR, 51.30, -4.84, 0.57
RIS, 91.90, -10.80, -2.11
RIVL, 73.60, 6.93, -5.48
RIVR, 56.64, 14.28, 3.74
RMDDL, 63.00, -4.22, -2.98
RMDDR, 69.88, -2.04, 2.38
RMDL, 55.61, 4.64, -5.99
RMDR, 56.37, 1.28, 4.90
RMDVL, 50.29, 6.26, -5.89
RMDVR, 52.70, 8.43, 5.60
RMED, 40.31, 16.39, -0.10
RMEL, 42.65, 6.14, -4.44
RMER, 41.20, 9.41, 6.22
RMEV, 52.47, -2.21, 0.00
RMFL, 64.83, -6.73, -0.81
RMFR, 67.73, -3.71, 0.55
RMGL, 96.44, -2.51, -6.24
RMGR, 99.36, -0.88, 5.55
RMHL, 69.53, -0.16, 1.86
RMHR, 65.18, -7.36, 1.37
SAADL, 59.07, -2.51, -1.13
SAADR, 52.59, -2.67, 0.67
SAAVL, 52.21, 10.07, -5.55
SAAVR, 52.46, 8.82, 5.76
SABD, 129.68, -9.85, 1.95
SABVL, 110.46, -7.62, 1.01
SABVR, 94.41, -7.88, 2.51
SDQL, 558.50, 8.92, -7.39
SDQR, 243.25, 19.83, 9.80
SIADL, 52.88, 5.99, -4.74
SIADR, 94.26, -6.92, 0.07
SIAVL, 64.90, -0.57, 1.00
SIAVR, 74.03, -3.93, 2.28
SIBDL, 59.92, -0.62, -3.41
SIBDR, 52.27, 4.06, 2.84
SIBVL, 70.85, -3.99, -2.89
SIBVR, 59.55, -4.35, 3.26
SMBDL, 100.41, -8.18, 1.69
SMBDR, 69.95, -4.52, 2.10
SMBVL, 95.74, -5.46, -0.46
SMBVR, 74.54, -6.54, -0.34
SMDDL, 59.99, -2.64, -3.87
SMDDR, 58.33, -2.51, 1.61
SMDVL, 53.28, 14.26, -4.33
SMDVR, 53.12, 14.21, 4.62
URADL, 28.69, 15.57, -2.61
URADR, 31.47, 13.46, 3.99
URAVL, 39.31, 1.52, -3.45
URAVR, 35.49, -0.83, 3.70
URBL, 36.05, 4.63, -6.52
URBR, 37.07, 9.15, 7.78
URXL, 52.67, 14.08, -2.00
URXR, 52.94, 15.23, 1.90
URYDL, 34.12, 14.01, -3.37
URYDR, 36.45, 14.87, 4.10
URYVL, 35.44, 4.01, -5.63
URYVR, 42.26, 7.51, 4.15
VA01, 109.56, -10.77, -1.31
VA10, 631.93, -10.73, -0.85
VA11, 689.04, -7.90, -1.30
VA12, 739.99, -1.88, -1.51
VA02, 156.13, -13.88, 0.82
VA03, 211.73, -14.23, -0.14
VA04, 276.38, -15.94, 0.64
VA05, 338.48, -16.82, 1.40
VA06, 408.54, -13.61, 2.05
VA07, 459.29, -14.80, 2.91
VA08, 505.45, -14.17, 0.24
VA09, 571.62, -13.06, -0.52
VB01, 107.58, -10.59, 2.36
VB10, 580.62, -13.56, -0.69
VB11, 639.06, -9.61, -0.65
VB02, 104.95, -9.32, -0.25
VB03, 163.81, -13.59, 0.26
VB04, 219.49, -14.67, -0.10
VB05, 289.05, -16.23, 0.62
VB06, 343.80, -16.63, 1.44
VB07, 406.06, -14.38, 1.09
VB08, 467.44, -14.92, 2.96
VB09, 524.53, -14.33, -0.04
VC01, 226.67, -13.11, -0.14
VC02, 295.79, -17.33, 0.49
VC03, 384.20, -16.46, 1.39
VC04, 442.02, -11.40, 0.18
VC05, 455.70, -8.41, 0.57
VC06, 529.95, -12.04, 0.58
VD01, 119.85, -10.48, 0.66
VD10, 601.82, -11.12, -0.04
VD11, 659.80, -7.43, -0.74
VD12, 727.76, -4.28, -1.44
VD13, 744.62, -1.44, 0.90
VD02, 132.21, -11.82, 0.21
VD03, 209.27, -13.48, -0.45
VD04, 265.48, -14.48, 1.17
VD05, 321.24, -16.36, 0.56
VD06, 384.51, -15.71, 0.95
VD07, 431.96, -14.12, -1.04
VD08, 482.46, -13.10, 2.57
VD09, 547.98, -13.36, -0.01